segment_id,basin_id,slope_deg,aspect,curvature,twi,dist_to_fault_m,soil_saturation_pct,ari_7d,forecast_rain_3h,ndvi,label
SEG_0026,BARAK_VALLEY,28.28,195.35,-0.02135,10.27,126.1,13.32,205.65,43.22,0.195,0
SEG_0027,TEESTA_VALLEY,46.39,97.76,0.04653,8.4,2950.2,27.3,102.84,83.94,0.204,0
SEG_0028,BRAHMAPUTRA_BASIN,8.92,9.13,0.04626,13.7,2442.0,46.4,43.32,18.77,0.288,0
SEG_0029,TEESTA_VALLEY,38.01,100.78,0.04549,12.33,1949.2,64.44,104.9,29.73,0.367,0
SEG_0030,BRAHMAPUTRA_BASIN,43.17,290.49,-0.01537,8.51,2281.2,14.28,237.29,106.4,0.296,1
SEG_0031,BRAHMAPUTRA_BASIN,36.29,181.13,0.03565,11.22,587.0,16.28,160.6,3.18,0.539,0
SEG_0032,BRAHMAPUTRA_BASIN,33.67,46.26,0.03112,13.49,2198.3,83.02,162.87,24.8,0.305,0
SEG_0033,SUBANSIRI_VALLEY,10.04,6.56,-0.04056,11.56,267.7,38.39,211.22,2.79,0.711,0
SEG_0034,MANAS_RIVER_BASIN,22.42,337.19,-0.04608,7.85,3387.2,58.77,105.87,68.22,0.532,0
SEG_0035,BARAK_VALLEY,25.63,133.93,0.02764,6.77,3259.0,86.4,107.25,90.1,0.666,0
SEG_0036,MANAS_RIVER_BASIN,49.78,140.11,-0.04892,14.68,337.7,38.42,237.52,114.07,0.53,1
SEG_0037,MANAS_RIVER_BASIN,9.59,216.88,0.00537,4.98,3312.8,79.54,28.37,111.71,0.831,0
SEG_0038,BARAK_VALLEY,10.85,51.48,0.02615,10.66,371.9,17.49,175.24,8.73,0.716,0
SEG_0039,BRAHMAPUTRA_BASIN,12.33,184.8,-0.02668,10.14,3023.7,88.35,59.17,108.92,0.544,0
SEG_0040,BARAK_VALLEY,43.86,201.03,-0.00758,14.69,407.0,53.84,2.84,56.24,0.142,0
SEG_0041,SUBANSIRI_VALLEY,43.36,296.2,0.02442,11.53,846.5,45.62,119.43,9.95,0.496,0
SEG_0042,MANAS_RIVER_BASIN,53.49,15.54,0.03911,9.39,3475.5,16.57,138.46,116.32,0.492,0
SEG_0043,TEESTA_VALLEY,15.84,106.02,0.04958,11.76,1357.0,75.6,228.81,115.04,0.143,1
SEG_0044,MANAS_RIVER_BASIN,18.87,67.72,-0.00363,6.95,2051.1,16.92,243.6,118.35,0.624,0
SEG_0045,TEESTA_VALLEY,18.99,148.03,0.01028,5.79,483.5,16.78,235.13,50.0,0.536,0
SEG_0046,MANAS_RIVER_BASIN,6.32,135.53,0.03106,15.82,543.5,62.88,95.22,116.39,0.732,0
SEG_0047,MANAS_RIVER_BASIN,8.18,13.26,-0.03661,2.19,282.2,71.56,133.59,89.99,0.785,0
SEG_0048,BRAHMAPUTRA_BASIN,47.48,89.05,-0.00495,3.81,3340.1,63.95,57.16,80.6,0.564,0
SEG_0049,SUBANSIRI_VALLEY,18.43,7.99,-0.00018,8.67,2913.2,37.39,204.1,116.16,0.166,0
SEG_0050,MANAS_RIVER_BASIN,36.02,253.47,-0.0287,3.91,70.6,41.2,147.48,47.07,0.428,0
SEG_0051,BRAHMAPUTRA_BASIN,22.41,185.04,0.02837,7.55,2184.9,86.75,237.38,17.65,0.795,0
SEG_0052,MANAS_RIVER_BASIN,54.0,177.34,-0.01712,10.87,855.7,16.75,32.22,15.37,0.214,0
SEG_0053,SUBANSIRI_VALLEY,14.09,124.44,0.03968,8.64,2343.1,25.34,48.07,4.9,0.227,0
SEG_0054,MANAS_RIVER_BASIN,32.44,192.39,-0.0144,14.52,468.0,39.38,80.4,11.07,0.461,0
SEG_0055,BARAK_VALLEY,51.04,21.99,-0.02231,13.29,2623.9,26.42,52.34,44.46,0.463,0
SEG_0056,BRAHMAPUTRA_BASIN,42.37,13.21,-0.02476,11.99,3135.3,55.54,133.03,12.86,0.436,0
SEG_0057,BARAK_VALLEY,24.86,37.75,0.02374,4.55,1982.6,84.82,22.3,64.24,0.275,0
SEG_0058,BRAHMAPUTRA_BASIN,44.46,179.44,-0.04131,9.52,2062.2,76.34,107.91,15.31,0.313,0
SEG_0059,SUBANSIRI_VALLEY,37.3,205.48,-0.01439,15.81,2128.1,31.11,25.45,18.34,0.284,0
SEG_0060,TEESTA_VALLEY,9.01,188.82,-0.00896,15.75,409.9,45.41,242.37,103.86,0.713,0
SEG_0061,TEESTA_VALLEY,29.54,260.24,0.03209,12.06,1881.9,52.42,209.65,24.61,0.826,0
SEG_0062,SUBANSIRI_VALLEY,17.12,41.34,0.01106,6.04,2042.7,23.74,120.29,63.91,0.139,0
SEG_0063,BRAHMAPUTRA_BASIN,27.71,197.5,0.00489,4.82,2402.3,17.82,34.71,0.33,0.188,0
SEG_0064,BARAK_VALLEY,22.44,334.63,0.03306,15.51,452.6,75.05,234.59,21.75,0.15,1
SEG_0065,SUBANSIRI_VALLEY,47.09,50.32,0.02953,4.82,589.5,24.62,203.64,79.82,0.492,1
SEG_0066,TEESTA_VALLEY,39.15,162.7,0.02138,14.6,2191.9,58.04,109.69,69.3,0.367,0
SEG_0067,BRAHMAPUTRA_BASIN,32.18,326.33,0.01242,3.64,3290.6,65.87,83.73,16.71,0.696,0
SEG_0068,BARAK_VALLEY,44.43,54.6,-0.01883,5.48,2608.9,12.98,142.47,91.5,0.758,0
SEG_0069,TEESTA_VALLEY,10.15,193.13,-0.01212,8.4,2121.8,54.7,134.97,58.36,0.407,0
SEG_0070,BRAHMAPUTRA_BASIN,17.59,124.45,-0.03184,14.72,2050.2,45.68,115.5,113.67,0.215,1
SEG_0071,MANAS_RIVER_BASIN,11.96,36.29,-0.0244,12.17,2083.5,19.1,229.69,94.81,0.117,1
SEG_0072,BRAHMAPUTRA_BASIN,8.45,27.84,-0.03958,13.77,3189.2,20.93,58.98,19.86,0.24,0
SEG_0073,TEESTA_VALLEY,21.61,112.12,-0.02726,10.51,1340.0,76.24,51.39,94.53,0.553,0
SEG_0074,BRAHMAPUTRA_BASIN,50.99,124.68,-0.0153,12.33,1593.7,29.99,113.11,16.9,0.232,0
SEG_0075,SUBANSIRI_VALLEY,25.95,329.34,-0.01376,10.13,2220.3,11.17,165.88,21.36,0.821,0
SEG_0076,SUBANSIRI_VALLEY,31.75,66.41,-0.02004,6.34,1402.7,47.98,199.95,41.93,0.451,0
SEG_0077,TEESTA_VALLEY,6.83,169.94,0.00648,2.92,2718.8,50.34,131.1,52.89,0.401,0
SEG_0078,TEESTA_VALLEY,21.72,27.18,0.02532,5.81,3143.1,56.87,200.19,117.47,0.73,0
SEG_0079,MANAS_RIVER_BASIN,25.4,198.62,-0.02461,4.75,1779.2,62.96,84.82,68.33,0.766,0
SEG_0080,BARAK_VALLEY,17.16,260.02,0.03557,13.62,1402.2,69.46,51.25,35.18,0.772,0
SEG_0081,BRAHMAPUTRA_BASIN,9.28,74.84,-0.04735,4.54,2049.0,47.51,223.17,98.09,0.356,0
SEG_0082,SUBANSIRI_VALLEY,46.53,124.27,0.02738,7.08,3016.5,29.54,243.64,93.57,0.186,0
SEG_0083,BARAK_VALLEY,49.73,287.95,-0.00748,2.31,955.0,58.21,158.37,30.95,0.205,0
SEG_0084,MANAS_RIVER_BASIN,5.92,329.15,-0.03822,10.07,973.7,59.32,162.86,99.57,0.255,0
SEG_0085,BRAHMAPUTRA_BASIN,12.0,94.93,-0.02335,12.25,892.5,66.35,123.57,68.8,0.729,0
SEG_0086,BRAHMAPUTRA_BASIN,13.31,265.69,-0.04172,10.44,873.8,44.65,72.17,42.68,0.639,0
SEG_0087,BARAK_VALLEY,52.47,142.79,0.04541,3.89,1703.5,34.02,134.96,19.44,0.731,0
SEG_0088,BRAHMAPUTRA_BASIN,10.33,27.05,0.02282,8.94,2415.6,48.7,61.6,98.29,0.7,0
SEG_0089,SUBANSIRI_VALLEY,53.38,1.89,-0.03969,6.4,2829.9,95.63,197.5,82.87,0.491,1
SEG_0090,TEESTA_VALLEY,37.94,249.22,0.03492,5.5,1723.2,29.69,246.92,113.29,0.13,1
SEG_0091,BRAHMAPUTRA_BASIN,34.41,359.77,0.00558,8.62,1108.7,20.73,182.76,23.11,0.186,0
SEG_0092,SUBANSIRI_VALLEY,47.23,114.88,0.03289,2.52,2095.0,30.47,30.14,9.23,0.622,0
SEG_0093,BRAHMAPUTRA_BASIN,41.24,23.53,-0.01847,9.55,2771.7,38.37,156.47,106.32,0.562,0
SEG_0094,BARAK_VALLEY,8.5,3.41,-0.04473,3.24,150.8,52.7,145.19,32.6,0.399,0
SEG_0095,TEESTA_VALLEY,21.82,188.11,0.02323,2.05,1646.2,36.43,213.21,85.87,0.542,0
SEG_0096,TEESTA_VALLEY,10.47,140.99,-0.03756,15.39,2797.0,33.05,147.14,117.88,0.763,0
SEG_0097,BARAK_VALLEY,50.19,356.11,0.02434,2.91,1417.5,84.57,57.64,99.68,0.19,0
SEG_0098,TEESTA_VALLEY,14.32,280.65,-0.01499,2.81,3392.5,88.66,231.94,119.39,0.23,1
SEG_0099,BRAHMAPUTRA_BASIN,30.76,176.83,0.04963,14.56,1632.6,65.44,186.97,4.18,0.771,0
SEG_0100,BARAK_VALLEY,18.65,171.6,-0.04556,13.93,143.3,39.29,232.9,88.23,0.311,1
SEG_0101,SUBANSIRI_VALLEY,23.63,93.51,0.02234,8.94,302.0,29.6,170.81,9.14,0.738,0
SEG_0102,MANAS_RIVER_BASIN,50.33,205.67,0.01621,9.61,3028.4,75.32,130.32,104.18,0.284,0
SEG_0103,BARAK_VALLEY,48.36,255.01,0.0337,11.76,2386.9,65.06,188.18,19.03,0.761,0
SEG_0104,BARAK_VALLEY,16.43,327.13,-0.04989,9.79,2653.1,33.02,48.28,10.09,0.345,0
SEG_0105,TEESTA_VALLEY,36.59,93.53,0.0134,9.56,2733.9,19.52,190.26,64.95,0.822,0
SEG_0106,MANAS_RIVER_BASIN,10.13,337.4,0.01879,2.95,1067.4,73.03,16.84,69.86,0.359,0
SEG_0107,BRAHMAPUTRA_BASIN,8.73,306.87,0.04901,11.46,1571.9,67.63,148.6,46.03,0.149,0
SEG_0108,BARAK_VALLEY,17.63,0.37,-0.03411,8.56,3306.2,19.1,213.55,63.24,0.719,0
SEG_0109,BARAK_VALLEY,16.04,29.66,0.01805,11.16,970.9,94.63,37.76,51.88,0.808,0
SEG_0110,BARAK_VALLEY,18.71,354.23,-0.00907,14.52,820.2,28.97,7.78,78.2,0.376,0
SEG_0111,SUBANSIRI_VALLEY,28.66,348.55,-0.03145,14.16,2722.6,78.61,211.2,91.32,0.57,0
SEG_0112,TEESTA_VALLEY,5.06,215.4,0.01073,5.47,1963.3,30.07,40.21,78.18,0.344,0
SEG_0113,BRAHMAPUTRA_BASIN,44.88,111.73,-0.00448,2.16,272.1,44.93,119.98,72.0,0.319,0
SEG_0114,TEESTA_VALLEY,6.98,172.98,-0.03951,5.39,3453.6,22.68,124.72,74.18,0.627,0
SEG_0115,BRAHMAPUTRA_BASIN,43.79,338.85,-0.04276,9.48,3091.2,17.34,206.13,42.94,0.342,0
SEG_0116,BRAHMAPUTRA_BASIN,13.37,37.64,0.01364,11.89,129.9,93.32,12.99,64.96,0.632,0
SEG_0117,BRAHMAPUTRA_BASIN,36.27,282.03,0.01123,8.78,2319.7,59.22,149.37,94.06,0.461,1
SEG_0118,SUBANSIRI_VALLEY,17.36,57.44,0.03718,5.07,3416.0,39.98,45.53,94.76,0.594,0
SEG_0119,BARAK_VALLEY,13.08,7.51,0.01533,6.65,1907.8,53.9,20.38,48.39,0.265,0
SEG_0120,SUBANSIRI_VALLEY,13.71,345.88,-0.00841,13.85,2208.1,75.45,191.93,60.58,0.507,0
SEG_0121,BARAK_VALLEY,33.93,157.9,0.02253,8.81,3059.5,90.16,105.43,33.22,0.544,0
SEG_0122,TEESTA_VALLEY,11.58,257.7,0.0409,4.52,846.7,96.45,45.24,102.53,0.469,0
SEG_0123,SUBANSIRI_VALLEY,25.25,213.45,0.00794,11.28,351.5,68.04,78.04,47.89,0.743,0
SEG_0124,SUBANSIRI_VALLEY,11.54,349.14,-0.00462,5.3,275.8,25.11,129.94,40.44,0.722,0
SEG_0125,TEESTA_VALLEY,27.47,211.64,0.04486,5.54,1270.2,43.76,151.38,42.81,0.5,0
SEG_0126,SUBANSIRI_VALLEY,48.21,200.93,0.00399,2.48,3453.7,20.94,57.78,6.2,0.58,0
SEG_0127,BARAK_VALLEY,27.61,336.2,-0.01838,9.1,164.7,23.2,246.66,115.81,0.104,1
SEG_0128,TEESTA_VALLEY,34.01,91.52,0.00217,6.8,1872.2,21.19,33.18,17.23,0.805,0
SEG_0129,SUBANSIRI_VALLEY,38.67,349.17,-0.04061,11.42,1564.3,87.26,44.29,83.12,0.729,0
SEG_0130,BRAHMAPUTRA_BASIN,17.21,299.12,0.03646,12.76,413.6,80.8,229.67,72.07,0.806,0
SEG_0131,MANAS_RIVER_BASIN,38.35,207.79,-0.01514,4.23,2125.2,38.31,216.61,119.2,0.664,0
SEG_0132,BARAK_VALLEY,48.93,145.49,-0.0173,11.35,2831.3,77.84,199.45,52.27,0.713,0
SEG_0133,TEESTA_VALLEY,21.42,226.88,0.01098,9.89,1343.9,58.82,149.12,65.48,0.433,0
SEG_0134,BRAHMAPUTRA_BASIN,42.97,180.16,0.00424,15.32,2968.1,91.37,203.44,13.07,0.212,0
SEG_0135,MANAS_RIVER_BASIN,17.3,171.61,-0.01056,9.69,2619.1,73.68,130.31,98.69,0.423,0
SEG_0136,BARAK_VALLEY,8.01,336.4,-0.01484,3.42,1710.8,32.85,71.22,36.87,0.702,0
SEG_0137,BARAK_VALLEY,34.05,32.27,0.02176,7.6,3419.0,83.26,130.62,14.79,0.745,0
SEG_0138,TEESTA_VALLEY,33.37,92.36,0.04629,8.77,2824.9,58.97,10.85,75.98,0.814,0
SEG_0139,MANAS_RIVER_BASIN,49.21,82.11,-0.0288,10.55,1450.4,84.75,225.01,42.41,0.278,1
SEG_0140,BARAK_VALLEY,47.56,241.71,0.03095,12.73,541.0,47.73,38.25,28.23,0.752,0
SEG_0141,TEESTA_VALLEY,15.84,34.46,-0.04764,10.99,2132.7,58.66,57.99,46.91,0.546,0
SEG_0142,BARAK_VALLEY,34.85,243.3,-0.00573,8.24,2541.3,11.41,85.27,98.24,0.552,0
SEG_0143,BRAHMAPUTRA_BASIN,50.28,278.14,-0.02351,11.03,2093.2,45.71,91.74,41.23,0.563,0
SEG_0144,SUBANSIRI_VALLEY,45.02,84.14,0.004,14.32,2285.1,57.43,81.08,39.96,0.602,0
SEG_0145,SUBANSIRI_VALLEY,38.09,200.8,0.02307,8.51,229.3,60.04,239.41,21.04,0.618,0
SEG_0146,TEESTA_VALLEY,46.09,0.45,-0.01991,15.74,1672.6,44.04,29.96,116.9,0.115,0
SEG_0147,SUBANSIRI_VALLEY,51.35,194.38,0.0342,9.29,2190.1,17.93,188.82,15.33,0.72,0
SEG_0148,SUBANSIRI_VALLEY,20.16,94.72,-0.01399,3.23,3280.6,59.29,76.38,47.64,0.435,0
SEG_0149,SUBANSIRI_VALLEY,48.67,58.24,0.02863,10.04,1991.7,44.8,125.29,47.66,0.505,0
SEG_0150,BRAHMAPUTRA_BASIN,48.4,290.13,0.029,6.27,301.6,45.87,43.38,83.39,0.36,0
SEG_0151,SUBANSIRI_VALLEY,33.65,335.78,0.00752,8.71,1111.8,63.97,34.8,107.79,0.722,0
SEG_0152,TEESTA_VALLEY,38.32,43.83,-0.00218,9.09,829.3,17.12,194.18,14.64,0.546,0
SEG_0153,SUBANSIRI_VALLEY,26.98,38.04,0.01408,5.02,2176.2,67.87,38.01,7.36,0.686,0
SEG_0154,BARAK_VALLEY,42.71,223.02,-0.02026,8.02,613.9,16.64,195.67,31.85,0.233,0
SEG_0155,SUBANSIRI_VALLEY,35.9,227.95,-0.02711,5.26,788.4,25.46,163.93,101.76,0.643,0
SEG_0156,MANAS_RIVER_BASIN,22.71,189.18,-0.00184,4.48,1367.0,95.78,62.15,16.06,0.414,0
SEG_0157,MANAS_RIVER_BASIN,43.01,49.36,0.00353,5.01,62.2,31.47,243.97,96.18,0.82,0
SEG_0158,SUBANSIRI_VALLEY,37.3,179.76,-0.0234,4.09,462.7,86.95,60.87,78.21,0.708,0
SEG_0159,MANAS_RIVER_BASIN,24.72,165.4,0.0285,14.49,3344.6,80.03,78.85,82.58,0.428,0
SEG_0160,BRAHMAPUTRA_BASIN,17.65,281.22,0.03251,8.94,1364.5,50.06,56.74,106.73,0.438,0
SEG_0161,MANAS_RIVER_BASIN,12.51,265.48,0.00122,11.52,165.0,17.55,179.08,8.65,0.153,0
SEG_0162,SUBANSIRI_VALLEY,22.49,278.88,0.01614,4.59,625.9,18.76,165.08,91.72,0.299,0
SEG_0163,SUBANSIRI_VALLEY,49.95,281.69,-0.02722,15.66,2342.4,10.93,63.85,31.29,0.152,0
SEG_0164,BRAHMAPUTRA_BASIN,21.11,45.08,-0.00257,3.6,1711.3,91.91,130.19,73.98,0.217,0
SEG_0165,BRAHMAPUTRA_BASIN,21.91,334.11,-0.02754,7.21,1523.6,49.11,153.23,113.17,0.281,0
SEG_0166,TEESTA_VALLEY,37.29,102.93,0.03159,14.06,2965.9,91.78,63.06,90.61,0.445,0
SEG_0167,SUBANSIRI_VALLEY,7.69,115.22,0.02532,5.77,1897.7,74.79,26.99,82.24,0.169,0
SEG_0168,SUBANSIRI_VALLEY,41.64,195.21,0.00903,9.12,1055.5,60.29,172.22,104.8,0.577,1
SEG_0169,MANAS_RIVER_BASIN,13.0,166.16,-0.04907,5.45,2548.1,98.27,24.79,48.18,0.7,0
SEG_0170,BARAK_VALLEY,14.4,127.94,0.02838,9.76,38.2,77.73,8.83,89.49,0.252,0
SEG_0171,BRAHMAPUTRA_BASIN,42.93,244.22,0.02563,13.79,1656.7,54.68,31.18,46.25,0.583,0
SEG_0172,BRAHMAPUTRA_BASIN,24.58,148.54,0.01956,2.05,2176.2,41.64,198.55,11.16,0.541,0
SEG_0173,SUBANSIRI_VALLEY,30.51,260.43,-0.03959,5.16,2466.2,14.7,121.65,71.92,0.552,0
SEG_0174,MANAS_RIVER_BASIN,42.3,353.51,-0.02902,13.55,1830.6,43.24,30.59,88.26,0.277,0
SEG_0175,SUBANSIRI_VALLEY,8.13,288.49,0.02666,12.27,1062.1,25.44,159.39,59.54,0.234,0
SEG_0176,BRAHMAPUTRA_BASIN,34.39,66.41,-0.01378,6.68,111.2,12.15,207.92,32.77,0.489,0
SEG_0177,MANAS_RIVER_BASIN,44.13,20.21,0.03527,5.16,1331.7,51.09,120.23,52.22,0.803,0
SEG_0178,BRAHMAPUTRA_BASIN,50.47,280.88,-0.0493,2.8,803.8,21.69,99.71,110.71,0.454,0
SEG_0179,MANAS_RIVER_BASIN,8.45,20.54,-0.02178,5.66,879.5,90.66,62.39,32.63,0.67,0
SEG_0180,SUBANSIRI_VALLEY,12.82,307.11,-0.04535,10.68,1975.7,40.79,78.8,92.62,0.165,0
SEG_0181,BRAHMAPUTRA_BASIN,41.62,197.4,-0.0372,14.35,1389.2,83.68,196.93,74.93,0.471,1
SEG_0182,TEESTA_VALLEY,28.2,349.92,0.01085,6.89,417.1,23.46,56.33,30.12,0.738,0
SEG_0183,TEESTA_VALLEY,31.17,41.32,0.03601,12.12,255.5,73.0,135.88,9.81,0.444,0
SEG_0184,BRAHMAPUTRA_BASIN,38.21,77.79,-0.04024,14.07,1621.4,76.69,72.65,94.44,0.184,0
SEG_0185,BARAK_VALLEY,27.96,18.7,0.02863,4.82,920.0,24.66,82.55,90.81,0.49,0
SEG_0186,SUBANSIRI_VALLEY,48.53,85.97,-0.00488,15.79,2706.6,12.42,16.3,55.67,0.782,0
SEG_0187,TEESTA_VALLEY,24.54,287.4,-0.01281,8.32,1402.9,18.31,110.27,23.47,0.24,0
SEG_0188,TEESTA_VALLEY,33.88,228.45,0.02979,7.54,3204.5,57.44,39.49,83.51,0.695,0
SEG_0189,BARAK_VALLEY,23.16,322.99,-0.03311,9.1,2101.4,12.97,90.92,87.92,0.715,0
SEG_0190,BARAK_VALLEY,49.12,289.3,0.00052,15.54,1473.8,97.59,166.98,76.16,0.224,1
SEG_0191,BRAHMAPUTRA_BASIN,26.37,58.4,-0.04874,9.84,1855.4,74.02,222.56,9.53,0.649,0
SEG_0192,SUBANSIRI_VALLEY,50.91,39.87,0.02596,15.83,3156.5,68.0,78.52,30.52,0.714,0
SEG_0193,SUBANSIRI_VALLEY,21.76,62.55,0.0212,13.56,370.2,31.35,35.49,41.75,0.438,0
SEG_0194,TEESTA_VALLEY,47.07,169.66,0.04791,10.88,459.4,70.18,81.28,82.36,0.152,1
SEG_0195,TEESTA_VALLEY,37.76,357.03,-0.04273,3.08,1204.5,87.11,53.88,43.25,0.151,0
SEG_0196,SUBANSIRI_VALLEY,51.92,313.63,0.02661,13.04,2334.1,33.17,226.8,80.49,0.52,1
SEG_0197,BARAK_VALLEY,24.49,136.62,-0.02733,7.34,468.4,46.74,200.59,57.49,0.114,0
SEG_0198,TEESTA_VALLEY,19.61,327.88,0.0254,13.27,82.7,95.69,181.67,36.57,0.722,0
SEG_0199,SUBANSIRI_VALLEY,36.75,161.94,-0.02816,3.68,257.8,33.44,11.53,68.06,0.313,0
SEG_0200,TEESTA_VALLEY,7.41,325.04,0.03523,11.35,2084.4,89.41,46.33,9.48,0.28,0
SEG_0201,TEESTA_VALLEY,19.26,154.51,-0.02322,13.05,2015.3,68.64,63.08,26.43,0.466,0
SEG_0202,TEESTA_VALLEY,38.46,298.54,0.0379,10.0,1820.7,48.31,79.24,52.15,0.68,0
SEG_0203,TEESTA_VALLEY,22.04,59.34,-0.03294,15.27,1569.5,80.2,159.9,81.17,0.199,1
SEG_0204,BARAK_VALLEY,37.61,342.19,0.01007,12.41,1781.8,66.44,17.73,30.53,0.371,0
SEG_0205,SUBANSIRI_VALLEY,35.2,326.66,-0.02611,8.57,1587.6,52.09,155.63,56.37,0.436,1
SEG_0206,MANAS_RIVER_BASIN,5.28,2.76,-0.02809,2.51,395.9,40.16,200.65,68.65,0.485,0
SEG_0207,BARAK_VALLEY,7.22,100.02,0.03167,5.98,2867.4,57.31,219.97,68.97,0.122,0
SEG_0208,BARAK_VALLEY,11.57,98.9,-0.01054,7.91,1450.4,90.78,178.51,72.95,0.332,0
SEG_0209,MANAS_RIVER_BASIN,40.92,343.45,0.02214,14.08,27.3,73.86,207.4,4.87,0.754,0
SEG_0210,TEESTA_VALLEY,27.81,132.86,-0.0379,7.87,2634.1,16.32,20.05,42.57,0.806,0
SEG_0211,MANAS_RIVER_BASIN,38.93,130.29,0.00937,2.14,2233.6,91.28,153.14,104.84,0.643,0
SEG_0212,BRAHMAPUTRA_BASIN,5.59,151.93,-0.0205,8.8,2028.7,13.89,30.75,67.04,0.357,0
SEG_0213,TEESTA_VALLEY,8.37,139.46,0.03518,7.65,290.1,58.29,215.44,70.83,0.27,0
SEG_0214,SUBANSIRI_VALLEY,50.83,155.15,-0.01811,10.15,1311.7,63.5,176.4,82.61,0.381,0
SEG_0215,SUBANSIRI_VALLEY,26.53,51.33,0.03901,6.84,557.5,12.26,161.46,76.43,0.355,0
SEG_0216,TEESTA_VALLEY,10.06,304.97,0.00311,13.78,2039.2,59.81,26.31,20.08,0.829,0
SEG_0217,BARAK_VALLEY,31.6,48.88,-0.04007,4.92,3241.2,46.86,98.86,37.58,0.21,0
SEG_0218,BRAHMAPUTRA_BASIN,10.81,344.13,-0.0186,14.44,2118.2,83.58,246.0,34.61,0.821,0
SEG_0219,SUBANSIRI_VALLEY,6.55,349.47,0.02735,15.72,1683.0,57.37,42.08,29.63,0.729,0
SEG_0220,MANAS_RIVER_BASIN,14.73,20.75,-0.01576,5.78,3383.1,59.64,86.82,69.66,0.204,0
SEG_0221,BARAK_VALLEY,12.53,294.03,-0.02927,12.95,2576.3,36.74,81.46,95.1,0.446,0
SEG_0222,MANAS_RIVER_BASIN,28.78,195.49,-0.02723,15.5,3184.9,74.27,133.35,104.4,0.198,0
SEG_0223,BARAK_VALLEY,32.47,20.79,0.01808,8.53,139.9,96.3,237.28,61.55,0.17,1
SEG_0224,BRAHMAPUTRA_BASIN,29.57,188.08,0.00627,8.18,2128.0,91.77,90.57,87.09,0.771,0
SEG_0225,BARAK_VALLEY,25.38,297.91,0.02645,10.03,3347.0,27.84,27.32,102.48,0.429,0
SEG_0226,MANAS_RIVER_BASIN,51.32,6.88,-0.00232,11.63,2535.0,71.64,33.61,35.93,0.369,0
